no,county,prefecture,province,type,population
1,Yaohai,Hefei,Anhui,District,"902,830"
2,Luyang,Hefei,Anhui,District,"609,239"
3,Shushan,Hefei,Anhui,District,"1,022,321"
4,Baohe,Hefei,Anhui,District,"817,686"
5,Changfeng,Hefei,Anhui,County,"629,535"
6,Feidong,Hefei,Anhui,County,"861,960"
7,Feixi,Hefei,Anhui,County,"858,895"
8,Lujiang,Hefei,Anhui,County,"973,850"
9,Juchao,Hefei,Anhui,City,"780,700"
9,Chaohu,Hefei,Anhui,City,"780,700"
10,Jinghu,Wuhu,Anhui,District,"533,330"
11,Yijiang,Wuhu,Anhui,District,"309,514"
12,Jiujiang,Wuhu,Anhui,District,"421,695"
13,Sanshan,Wuhu,Anhui,District,"144,378"
14,Wuhu,Wuhu,Anhui,County,"294,039"
15,Fanchang,Wuhu,Anhui,County,"257,764"
16,Nanling,Wuhu,Anhui,County,"404,278"
17,Wuwei,Wuhu,Anhui,County,"1,180,069"
18,Longzihu,Bengbu,Anhui,District,"243,123"
19,Bengshan,Bengbu,Anhui,District,"334,426"
20,Yuhui,Bengbu,Anhui,District,"249,361"
21,Huaishang,Bengbu,Anhui,District,"145,874"
22,Huaiyuan,Bengbu,Anhui,County,"1,028,066"
23,Wuhe,Bengbu,Anhui,County,"621,973"
24,Guzhen,Bengbu,Anhui,County,"541,644"
25,Datong,Huainan,Anhui,District,"180,917"
26,Tianjiaan,Huainan,Anhui,District,"593,981"
27,Xiejiaji,Huainan,Anhui,District,"320,251"
28,Bagongshan,Huainan,Anhui,District,"175,993"
29,Panji,Huainan,Anhui,District,"395,684"
30,Fengtai,Huainan,Anhui,County,"667,070"
31,Huashan,Maanshan,Anhui,District,"303,855"
32,Yushan,Maanshan,Anhui,District,"309,672"
33,Bowang,Maanshan,Anhui,District,not established
34,Dangtu,Maanshan,Anhui,County,"624,771"
35,Hanshan,Maanshan,Anhui,County,"376,436"
36,He,Maanshan,Anhui,County,"460,161"
37,Duji,Huaibei,Anhui,District,"324,398"
38,Xiangshan,Huaibei,Anhui,District,"467,358"
39,Lieshan,Huaibei,Anhui,District,"321,565"
40,Suixi,Huaibei,Anhui,County,"1,000,955"
41,Tongguanshan,Tongling,Anhui,District,"287,765"
42,Shizishan,Tongling,Anhui,District,"114,297"
43,Jiao,Tongling,Anhui,District,"72,301"
44,Tongling,Tongling,Anhui,County,"249,595"
45,Yingjiang,Anqing,Anhui,District,"251,000"
46,Daguan,Anqing,Anhui,District,"275,000"
47,Yixiu,Anqing,Anhui,District,"254,000"
48,Huaining,Anqing,Anhui,County,"593,000"
49,Zongyang,Anqing,Anhui,County,"839,000"
50,Qianshan,Anqing,Anhui,County,"500,000"
51,Taihu,Anqing,Anhui,County,"515,000"
52,Susong,Anqing,Anhui,County,"571,000"
53,Wangjiang,Anqing,Anhui,County,"527,000"
54,Yuexi,Anqing,Anhui,County,"322,000"
55,Tongcheng,Anqing,Anhui,City,"664,000"
56,Tunxi,Huangshan,Anhui,District,"217,600"
57,Huangshan,Huangshan,Anhui,District,"147,600"
58,Huizhou,Huangshan,Anhui,District,"95,500"
59,She,Huangshan,Anhui,County,"409,300"
60,Xiuning,Huangshan,Anhui,County,"250,500"
61,Yi,Huangshan,Anhui,County,"80,700"
62,Qimen,Huangshan,Anhui,County,"157,800"
63,Langya,Chuzhou,Anhui,District,310427
64,Nanqiao,Chuzhou,Anhui,District,"251,894"
65,Laian,Chuzhou,Anhui,County,"432,021"
66,Quanjiao,Chuzhou,Anhui,County,"383,885"
67,Dingyuan,Chuzhou,Anhui,County,"779,174"
68,Fengyang,Chuzhou,Anhui,County,"644,895"
69,Mingguang,Chuzhou,Anhui,City,"602,840"
70,Tianchang,Chuzhou,Anhui,City,"532,732"
71,Yingzhou,Fuyang,Anhui,District,"691,698"
72,Yingdong,Fuyang,Anhui,District,"519,562"
73,Yingquan,Fuyang,Anhui,District,"557,687"
74,Linquan,Fuyang,Anhui,County,"1,543,218"
75,Taihe,Fuyang,Anhui,County,"1,361,145"
76,Funan,Fuyang,Anhui,County,"1,168,117"
77,Yingshang,Fuyang,Anhui,County,"1,196,535"
78,Jieshou,Fuyang,Anhui,City,"561,956"
79,Yongqiao,Suzhou,Anhui,District,"1,647,642"
80,Dangshan,Suzhou,Anhui,County,"800,408"
81,Xiao,Suzhou,Anhui,County,"1,130,916"
82,Lingbi,Suzhou,Anhui,County,"975,308"
83,Si,Suzhou,Anhui,County,"798,650"
84,Jinan,Luan,Anhui,District,"923,938"
85,Yuan,Luan,Anhui,District,"854,645"
86,Shou,Luan,Anhui,County,"1,008,116"
87,Huoqiu,Luan,Anhui,County,"1,246,129"
88,Shucheng,Luan,Anhui,County,"749,273"
89,Jinzhai,Luan,Anhui,County,"514,456"
90,Huoshan,Luan,Anhui,County,"315,144"
91,Qiaocheng,Bozhou,Anhui,District,"1,409,436"
92,Woyang,Bozhou,Anhui,County,1212054
93,Mengcheng,Bozhou,Anhui,County,"1,062,080"
94,Lixin,Bozhou,Anhui,County,"1,167,087"
95,Guichi,Chizhou,Anhui,District,"595,268"
96,Dongzhi,Chizhou,Anhui,County,"468,280"
97,Shitai,Chizhou,Anhui,County,"92,238"
98,Qingyang,Chizhou,Anhui,County,"246,732"
99,Xuanzhou,Xuancheng,Anhui,District,"772,500"
100,Langxi,Xuancheng,Anhui,County,"320,600"
101,Guangde,Xuancheng,Anhui,County,"487,200"
102,Jing,Xuancheng,Anhui,County,"299,600"
103,Jixi,Xuancheng,Anhui,County,156100
104,Jingde,Xuancheng,Anhui,County,"120,000"
105,Ningguo,Xuancheng,Anhui,City,"376,900"
106,Jinjiazhuang,Maanshan,Anhui,District,"128,004"
107,Dongcheng,Directly administered,Beijing,District,"919,000"
108,Xicheng,Directly administered,Beijing,District,"1,243,000"
109,Chaoyang,Directly administered,Beijing,District,"3,545,000"
110,Haidian,Directly administered,Beijing,District,"3,281,000"
111,Fengtai,Directly administered,Beijing,District,"2,112,000"
112,Shijingshan,Directly administered,Beijing,District,"616,000"
113,Tongzhou,Directly administered,Beijing,District,"1,184,000"
114,Shunyi,Directly administered,Beijing,District,"877,000"
115,Changping,Directly administered,Beijing,District,"1,661,000"
116,Daxing,Directly administered,Beijing,District,"1,365,000"
117,Mentougou,Directly administered,Beijing,District,"290,000"
118,Fangshan,Directly administered,Beijing,District,"945,000"
119,Pinggu,Directly administered,Beijing,District,"416,000"
120,Huairou,Directly administered,Beijing,District,"373,000"
121,Miyun,Directly administered,Beijing,County,"468,000"
122,Yanqing,Directly administered,Beijing,County,"317,000"
